id,name,description,imageUrl,productSize,file,price,quantity,currency,type,createdAt,updatedAt,isDiscounted,discountedPrice,subType
2,Bruno's Pasta,"Bruno's - Pasta Sauce has a very high nutritional value, is moderately processed, and is estimated to have a low carbon footprint and a low water footprint.",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/products/brunoPasta.png,2,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/brunosPasta.glb,61,1498,usd,Grocery,2023-10-03 07:17:25,2023-10-19 13:02:33,1,55,Pasta
3,Doritos,"Corn, Vegetable Oil (Corn, Canola, And/or Sunflower Oil), Maltodextrin (Made From Corn), Salt, Cheddar Cheese (Milk, Cheese Cultures, Salt, Enzymes), Whey, Monosodium Glutamate, Buttermilk, Romano Cheese (Part-skim Cow's Milk, Cheese Cultures, Salt, Enzymes), Whey Protein Concentrate, Onion Powder, Corn Flour, Natural",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/Doritos-min.png,2,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Doritos.glb,50,1482,usd,Snacks,2023-10-03 12:25:56,2023-10-19 13:02:33,1,40,Snacks
4,Almaral Milk,"Water, Milk Solids, Emulsifier: Vegetable Oil Origin (E471), Stabilizers (E407 and E412), Niacin, Vitamin E, Zinc Pantothenic Acid, Vitamin a, Vitamin D3, Vitamin B6, Vitamin B2, Thiamine, Folic Acid, Vitamin K1, Biotin, Vitamin B12.",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/Almaral+Milk-min.png,2,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/almaralMilk.glb,30,1960,usd,Dairy,2023-10-03 12:27:40,2023-10-19 13:02:35,1,25,Milk
5,Alpro Almond Milk,"Water, Almond (2.3%), Sugar, Calcium (Tri-calcium phosphate), Sea salt, Stabilisers (Locust bean gum, Gellan gum), Emulsifier (Lecithins (Sunflower)), Natural flavouring, Vitamins (B2, B12, E, D2).",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/Alpro+Almond+Milk-min.png,2,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/alproAlmondMilk.glb,10,1987,usd,Dairy,2023-10-04 05:11:01,2023-10-19 13:02:36,1,8,Milk
6,IBERIA Oil,"The bottle actually contains a blend comprised of 80 percent sunflower oil and 20 percent EVOO, according to the ingredients list on the back.",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/IBERIA+Oil-min.png,3,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/iBERIAOil.glb,10,1988,usd,Grocery,2023-10-04 05:25:00,2023-10-19 13:02:52,0,8,Oil
7,Goya Veg Oil,"GOYA® Vegetable Oil is made from 100% USA-grown soybeans. Its neutral flavor and aroma allow the full flavors of your dishes to stand out. Use it to cook, fry, in baking and to make delicious dressings and sauces. It has no trans fat or cholesterol, and contains omega-3s.",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/Goya+Veg+Oil-min.png,3,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/goyaVegOil.glb,12,1776,usd,Grocery,2023-10-04 05:27:31,2023-10-19 13:02:53,0,10,Oil
12,Sprite,"Carbonated Water, Sugar, Acids (Citric Acid, Tartaric Acid), Acidity Regulator (Sodium Citrates), Sweeteners (Acesulfame-K, Aspartame), Natural Lemon And Lime Flavourings.",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/Sprite-min.png,1,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Sprite.glb,10,1990,usd,Softdrinks,2023-10-04 05:48:59,2023-10-19 13:03:33,0,8,Carbonated
13,Dew,"CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CONCENTRATED ORANGE JUICE, CITRIC ACID, NATURAL FLAVOR, SODIUM BENZOATE (PRESERVES FRESHNESS), CAFFEINE, SODIUM CITRATE, GUM ARABIC, ERYTHORBIC ACID (PRESERVES FRESHNESS), CALCIUM DISODIUM EDTA (TO PROTECT FLAVOR), YELLOW 5.",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/Dew-min.png,1,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Dew.glb,10,996,usd,Softdrinks,2023-10-04 05:50:58,2023-10-19 13:03:34,0,8,Carbonated
14,SevenUp,"Nothing can Lift UP your day like the crisp and refreshing taste of 7UP. Ingredients Filtered Carbonated Water, Citric Acid, Potassium Citrate, Potassium Benzoate (Preservative), Aspartame, Acesulfame Potassium, Natural Flavor, Calcium Disodium EDTA (to Protect Flavor).",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/SevenUp-min.png,1,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/7up.glb,10,1996,usd,Softdrinks,2023-10-04 05:51:33,2023-10-19 13:03:35,0,8,Carbonated
15,Coka Cola,"Carbonated water – Approximately 90% of Coca-Cola is water. ... Sugar – Coca-Cola Classic's sweet taste (and also some of its mouthfeel) comes from sugar. ... Caramel colour – A very specific caramel is made especially for Coca-Cola, to give the drink its characteristic colour.",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/Coka+Cola-min.png,1,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/cokaCola.glb,10,2000,usd,Softdrinks,2023-10-04 05:52:19,2023-10-19 13:03:35,0,8,Carbonated
